Msg_Received,Received_Time,Decoding_Time
1,102.4967,1.0236
2,103.127327,0.4944
3,103.41124,0.1454
4,103.573547,0.1281
5,103.678952,0.0800
6,105.160017,0.1196
7,107.039399,0.0953
8,107.143304,0.0656
9,109.484206,0.2859
10,110.159636,0.1327
11,112.156524,0.0814
12,113.012661,0.0624
13,114.410823,0.0630
14,115.629076,0.0621
15,117.109941,0.0610
16,118.371897,0.0602
17,119.843561,0.0586
18,121.158519,0.0623
19,122.411774,0.1463
20,123.68113,0.0412
21,124.950785,0.0402
22,126.282944,0.0643
23,126.334946,0.0294
24,127.676005,0.0362
25,129.211473,0.0337
26,130.388924,0.0351
27,131.623178,0.0856
28,132.954637,0.0414
29,134.365399,0.0366
30,135.848764,0.0670
31,137.248525,0.0370
32,138.684588,0.0334
33,140.007346,0.0334
34,141.425409,0.0368
35,142.82327,0.0671
36,144.202731,0.0384
37,145.644494,0.0361
38,146.831546,0.0358
39,148.263209,0.0335
40,149.568666,0.0375
41,151.008029,0.0351
42,152.198682,0.0466
43,153.584542,0.0810
44,154.820897,0.0382
45,156.052951,0.0493
46,157.522715,0.0481
47,158.728868,0.0453
48,160.177032,0.0552
49,161.576593,0.0560
50,162.752145,0.0537
51,164.122805,0.0371
52,165.545368,0.0433
53,166.607014,0.0358
54,167.967174,0.0342
55,169.278831,0.0341
56,170.239774,0.0355
57,170.287476,0.0281
58,171.734339,0.0296
59,173.143001,0.0297
60,173.191603,0.0291
61,174.353254,0.0347
62,175.769516,0.0379
63,177.092074,0.0784
64,178.696645,0.0387
65,179.893997,0.0343
66,179.939599,0.0257
67,181.403864,0.0331
68,182.661119,0.0327
69,182.707021,0.0257
70,184.05238,0.0356
71,185.325536,0.0350
72,185.41144,0.0652
73,186.933407,0.0335
74,188.060756,0.0336
75,188.105558,0.0248
76,189.540721,0.0302
77,190.956183,0.0585
78,191.002685,0.0254
79,192.234739,0.0320
80,193.85131,0.0325
81,193.895912,0.0244
82,195.43928,0.0337
83,196.654133,0.0330
84,196.699235,0.0243
85,198.131398,0.0338
86,199.416555,0.0734
87,199.723368,0.0318
88,200.965323,0.0320
89,202.144174,0.0316
90,203.397229,0.0273
91,204.836792,0.0311
92,205.946041,0.0333
93,207.351003,0.0501
94,208.567056,0.0339
95,209.924216,0.0323
96,211.014864,0.0318
97,212.422325,0.0318
98,213.689881,0.0318
99,214.942936,0.0319
100,216.097187,0.0318
101,217.417745,0.0312
102,218.696701,0.0320
103,219.971857,0.0324
104,220.016459,0.0242
105,221.475423,0.0311
106,222.932987,0.0351
107,222.982589,0.0266
108,224.162141,0.0290
109,225.543802,0.0336
110,226.821658,0.0312
111,228.160616,0.0329
112,229.416772,0.0319
113,230.695528,0.0312
114,232.136391,0.0320
115,233.346544,0.0309
116,234.781407,0.0311
117,236.186169,0.0316
118,237.418923,0.0313
119,238.693379,0.0314
120,240.113241,0.0313
121,241.369796,0.0312
122,242.849061,0.0320
