Msg_Received,Received_Time,Decoding_Time
1,120.361366,12.2114
2,120.668982,0.2297
3,120.807689,0.1043
4,120.886193,0.0540
5,121.0027,0.0958
6,121.065003,0.0401
7,121.122706,0.0406
8,121.177609,0.0387
9,121.285314,0.0916
10,121.40002,0.0432
11,121.469224,0.0382
12,121.522527,0.0371
13,121.571429,0.0371
14,121.620032,0.0371
15,121.668534,0.0370
16,121.717037,0.0371
17,121.790241,0.0592
18,121.851944,0.0377
19,122.563381,0.1134
20,123.89335,0.0470
21,126.079864,0.0457
22,126.137667,0.0381
23,128.6871,0.0583
24,128.749003,0.0384
25,128.845208,0.0826
26,132.293987,0.0939
27,132.405493,0.0566
28,132.91482,0.0242
29,134.677111,0.0726
30,135.474253,0.0276
31,136.689916,0.0691
32,137.892979,0.0324
33,139.222748,0.0216
34,140.640022,0.0205
35,142.040395,0.0182
36,143.579575,0.0179
37,144.565026,0.0178
38,146.226913,0.0203
39,147.250066,0.0200
40,148.424027,0.0220
41,149.982208,0.0647
42,151.692897,0.0177
43,153.027567,0.0584
44,154.24693,0.0568
45,155.690405,0.0159
46,155.727907,0.0094
47,157.12238,0.0230
48,158.422148,0.0236
49,159.451901,0.0195
50,160.57506,0.0164
51,161.807824,0.0161
52,164.532466,0.0166
53,164.564567,0.0096
54,166.042244,0.0146
55,167.270508,0.0134
56,168.497372,0.0123
57,169.837742,0.0122
58,171.357721,0.0134
59,172.723792,0.0126
60,173.853451,0.0125
61,175.132118,0.0121
62,176.348081,0.0129
63,177.623047,0.0141
64,178.986318,0.0263
65,180.121477,0.0180
66,180.151479,0.0091
67,181.545352,0.0143
68,182.802117,0.0185
69,183.981478,0.0160
70,184.00988,0.0092
71,186.3206,0.0147
72,186.348602,0.0094
73,188.888434,0.0146
74,188.916035,0.0094
75,188.936636,0.0087
76,190.572521,0.0164
77,191.617676,0.0209
78,192.993348,0.0209
79,194.231112,0.0155
80,195.73409,0.0216
81,196.89115,0.0161
82,198.196018,0.0164
83,198.22542,0.0093
84,199.664795,0.0141
85,201.043967,0.0142
86,202.329934,0.0149
87,203.585699,0.0146
88,205.121079,0.0144
89,206.332742,0.0145
90,207.739715,0.0258
91,207.776317,0.0098
92,209.126287,0.0222
93,210.601864,0.0160
94,211.823728,0.0175
95,213.120795,0.0166
96,214.527569,0.0157
97,215.812936,0.0155
98,217.209708,0.0144
99,218.492675,0.0150
100,219.766941,0.0144
101,221.290021,0.0142
102,222.526085,0.0161
103,223.630343,0.0168
104,224.994614,0.0148
105,226.204077,0.0145
106,227.467542,0.0141
107,227.495444,0.0093
108,229.123129,0.0140
109,230.907721,0.0270
110,231.759166,0.0149
111,233.590961,0.0161
112,234.15089,0.0144
113,234.178792,0.0092
114,235.694671,0.0141
115,237.068342,0.0143
116,237.096144,0.0092
117,238.595422,0.0149
118,239.855387,0.0152
119,241.131554,0.0151
120,242.726937,0.0147
121,243.912598,0.0143
122,246.24432,0.0272
123,246.682043,0.0141
124,248.061715,0.0144
125,249.7015,0.0442
126,250.421337,0.0125
127,250.450739,0.0126
128,251.787108,0.0575
129,253.092676,0.0118
130,254.288339,0.0114
131,255.594407,0.0110
132,256.960578,0.0118
133,258.264446,0.0539
134,259.394605,0.0114
135,260.85098,0.0113
136,260.875782,0.0078
137,262.810582,0.0128
138,262.847084,0.0094
139,264.158253,0.0116
140,265.307812,0.0109
141,266.538176,0.0144
142,267.94385,0.0106
143,269.340422,0.0152
144,270.528184,0.0106
145,271.863254,0.0104
146,273.13492,0.0147
147,274.348983,0.0112
148,275.701854,0.0106
149,276.880015,0.0110
150,276.904716,0.0088
151,278.484098,0.0106
152,279.799667,0.0105
153,279.823168,0.0076
154,281.20734,0.0149
155,282.487007,0.0130
156,283.779574,0.0106
157,285.182147,0.0105
158,286.58322,0.0104
159,287.950191,0.0105
160,289.218157,0.0137
161,289.85189,0.0092
162,291.123556,0.0140
163,292.34622,0.0108
164,293.579184,0.0106
165,294.867351,0.0104
166,296.213821,0.0105
167,297.474087,0.0104
168,298.711851,0.0104
169,300.007719,0.0116
170,301.436393,0.0132
171,302.794164,0.0882
172,304.079731,0.0143
173,305.22039,0.0190
174,306.698267,0.0148
175,307.679618,0.0097
176,308.901582,0.0099
177,310.102044,0.0126
178,311.378711,0.0113
179,312.654377,0.0096
180,314.156056,0.0095
181,315.430522,0.0092
182,316.666886,0.0095
183,317.928552,0.0093
184,319.286623,0.0091
185,320.605191,0.0097
186,320.628993,0.0063
187,322.145671,0.0091
188,323.364935,0.0093
189,324.584298,0.0090
190,325.809762,0.0091
191,327.051227,0.0094
192,328.273291,0.0105
193,329.483554,0.0093
194,330.695417,0.0112
195,331.931381,0.0095
196,331.953282,0.0063
197,333.302252,0.0080
198,334.613121,0.0121
199,335.723678,0.0106
200,336.90454,0.0129
201,338.125603,0.0591
202,339.323466,0.0089
203,340.490027,0.0084
204,341.831196,0.0089
205,343.088662,0.0102
206,344.337027,0.0109
207,344.361128,0.0064
208,345.633494,0.0100
209,346.797255,0.0124
210,348.226029,0.0107
211,349.548298,0.0109
212,350.723259,0.0091
213,352.07363,0.0093
214,353.392898,0.0088
215,354.624662,0.0090
216,355.788523,0.0089
217,357.091591,0.0089
218,358.264852,0.0097
219,359.561119,0.0094
220,359.583321,0.0061
221,360.777683,0.0088
222,362.057249,0.0114
223,363.21441,0.0090
224,364.353269,0.0089
225,365.758542,0.0121
226,366.967305,0.0094
227,366.997507,0.0116
228,368.295174,0.0482
229,369.602142,0.0092
230,370.975514,0.0087
231,372.25528,0.0082
232,373.40404,0.0080
233,374.831914,0.0083
234,374.853816,0.0057
235,376.111181,0.0078
236,377.342445,0.0079
237,378.430402,0.0079
238,378.451203,0.0055
239,379.761671,0.0079
240,381.028937,0.0095
241,382.097493,0.0102
242,382.260201,0.0071
243,383.57687,0.0083
244,384.689128,0.0079
245,386.0791,0.0085
246,386.104001,0.0085
247,387.264462,0.0084
248,388.440523,0.0093
249,389.806994,0.0084
250,390.865149,0.0118
251,392.098613,0.0078
252,393.290775,0.0076
253,394.618645,0.0073
254,395.910912,0.0118
255,397.382388,0.0148
256,397.655403,0.1059
257,398.94867,0.0078
258,400.239237,0.0091
259,400.266739,0.0071
260,401.541305,0.0059
261,402.698465,0.0063
262,404.009734,0.0069
263,405.229397,0.0089
264,406.513564,0.0063
265,407.734727,0.0065
266,409.045796,0.0064
267,410.446669,0.0100
268,411.490123,0.0092
269,412.792191,0.0064
270,414.287669,0.0066
271,415.447229,0.0092
272,415.46863,0.0064
273,416.958208,0.0061
274,418.414883,0.0064
275,418.436885,0.0074
276,419.763454,0.0135
277,420.875812,0.0068
278,422.169279,0.0077
279,423.331339,0.0068
280,424.588605,0.0113
281,426.011479,0.0063
282,426.03518,0.0043
283,427.434553,0.0114
284,428.759422,0.0102
285,428.779723,0.0044
286,430.506613,0.0067
287,431.740677,0.0070
288,432.958041,0.0097
289,434.337312,0.0063
290,435.581177,0.0060
291,436.78304,0.0068
292,437.902398,0.0099
293,439.09456,0.0064
294,440.382227,0.0064
295,441.58709,0.0064
296,443.049166,0.0223
297,444.216027,0.0106
298,445.538796,0.0065
299,446.802661,0.0085
300,448.053427,0.0132
301,449.26749,0.0117
302,450.590259,0.0061
303,450.61766,0.0063
304,451.980031,0.0065
305,453.254397,0.0129
306,454.574166,0.0062
307,455.81203,0.0067
308,457.057295,0.0065
309,458.358063,0.0130
310,459.464321,0.0070
311,460.760388,0.0068
312,462.059856,0.0065
313,462.082157,0.0064
314,463.401426,0.0062
315,464.63919,0.0067
316,465.855953,0.0065
317,465.877955,0.0064
318,467.233625,0.0064
319,468.420587,0.0062
320,469.949666,0.2661
321,469.984168,0.0077
322,471.17703,0.0111
323,472.734511,0.0079
324,474.177787,0.0163
325,475.495355,0.0100
326,476.804023,0.0119
327,478.249799,0.0067
328,479.685873,0.0066
329,480.997042,0.0086
330,482.485719,0.0112
331,483.990898,0.0066
332,484.015199,0.0044
333,485.547079,0.0062
334,486.826945,0.0085
335,486.845446,0.0039
336,488.130613,0.0062
337,489.583189,0.0080
338,490.852255,0.0096
339,492.161623,0.0094
340,493.320783,0.0057
341,494.565648,0.0064
342,495.829914,0.0463
343,497.169684,0.0093
344,497.190385,0.0041
345,498.398848,0.0060
346,499.854523,0.0065
347,501.13199,0.0092
