Msg_Received,Received_Time,Decoding_Time
1,707.9116,4.8111
2,708.2807,0.2869
3,710.4147,0.1243
4,718.7674,0.0761
5,720.8926,0.1404
6,720.972,0.0427
7,725.9293,0.0568
8,726.4457,0.0450
9,743.4102,1.0114
10,744.3575,0.5457
11,759.0495,0.2040
12,759.2916,0.1125
13,774.3973,0.1589
14,790.6051,0.1622
15,807.1203,0.1621
16,823.3387,0.1618
17,839.17,0.1642
18,854.8122,0.1728
19,855.2335,0.3173
20,871.6285,0.1337
21,887.2765,0.1569
22,903.8036,0.1557
23,904.0021,0.0905
24,919.4824,0.1349
25,935.2196,0.1336
26,950.8546,0.0672
27,967.9915,0.0834
28,983.7676,0.0612
29,998.9898,0.0499
30,1015.2675,0.0571
31,1015.3435,0.0367
32,1031.0665,0.0430
33,1031.263,0.0325
34,1047.2855,0.0972
35,1063.5753,0.0521
36,1079.5559,0.0583
37,1079.6012,0.0168
38,1096.2752,0.0453
39,1112.1283,0.0424
40,1128.537,0.0501
41,1128.6215,0.0464
42,1144.432,0.0600
43,1160.7887,0.2055
44,1176.4101,0.1184
45,1176.6314,0.0708
46,1192.8251,0.1960
47,1193.0023,0.0702
48,1208.6648,0.1258
49,1224.0207,0.0553
50,1224.0685,0.0172
51,1241.2513,0.0405
52,1257.3858,0.0485
53,1257.4429,0.0218
54,1273.6984,0.0560
55,1273.7682,0.0269
56,1289.8318,0.0796
57,1289.9378,0.0421
58,1305.4537,0.0439
59,1321.7546,0.0396
60,1338.3724,0.0451
61,1354.2117,0.0490
62,1354.3003,0.0285
63,1370.3181,0.1056
64,1370.4,0.0331
65,1387.1757,0.0749
66,1403.1062,0.1239
67,1419.4341,0.1239
68,1419.6069,0.0713
69,1435.2524,0.1124
70,1451.777,0.1113
71,1451.9418,0.0745
72,1467.6974,0.0980
73,1467.7738,0.0385
74,1483.9861,0.0686
75,1499.8079,0.0498
76,1516.6767,0.0601
77,1532.0979,0.0968
78,1548.8746,0.1198
79,1564.8494,0.1693
80,1580.6222,0.0600
81,1580.7424,0.0588
82,1596.5603,0.0394
83,1596.6058,0.0159
84,1612.6035,0.0442
85,1612.6613,0.0226
86,1628.8886,0.0948
87,1644.5305,0.0631
88,1661.2449,0.1232
89,1677.1965,0.1103
90,1693.4768,0.1632
91,1709.1196,0.0367
92,1725.0141,0.0421
93,1725.0595,0.0152
94,1741.6403,0.0351
95,1741.6839,0.0149
96,1757.8647,0.0415
97,1774.1281,0.0465
98,1790.5639,0.0888
99,1790.6504,0.0319
100,1807.189,0.1046
101,1823.2441,0.1156
102,1839.3502,0.1170
103,1855.0824,0.1177
104,1871.1977,0.1190
105,1887.195,0.1199
106,1903.3008,0.1245
107,1905.5011,0.2340
108,1919.145,0.1848
109,1935.8849,0.1421
110,1950.9489,0.1431
111,1967.158,0.1440
112,1982.5595,0.0449
113,1998.9918,0.0436
114,1999.0358,0.0163
115,2014.9268,0.0515
116,2031.2961,0.0592
117,2031.3959,0.0406
118,2047.6037,0.0737
119,2047.8174,0.0479
120,2064.3635,0.1107
121,2080.3438,0.1362
122,2097.0178,0.1525
123,2097.2221,0.0967
124,2112.5565,0.1620
125,2129.1862,0.1201
126,2129.3569,0.0684
127,2144.7719,0.1201
128,2161.0869,0.1184
129,2161.2594,0.0692
130,2177.1707,0.2198
131,2177.3955,0.1113
132,2193.0707,0.1191
133,2209.2644,0.1194
134,2225.3597,0.1177
135,2241.1914,0.1195
136,2257.3394,0.1177
137,2273.749,0.1287
138,2290.1958,0.1235
139,2314.5806,0.0902
140,2314.7245,0.0505
141,2324.3925,0.0572
142,2337.9481,0.0483
143,2354.7048,0.0488
144,2354.7943,0.0220
145,2370.2894,0.0560
146,2386.528,0.0445
147,2402.1352,0.0416
148,2417.8461,0.0453
149,2434.0515,0.0514
150,2450.5036,0.0624
151,2450.6166,0.0335
152,2467.0747,0.0838
153,2488.1611,0.0369
154,2498.7517,0.0375
155,2515.052,0.0544
156,2515.1179,0.0328
157,2531.1281,0.0496
158,2531.2061,0.0369
159,2548.8909,0.0692
160,2563.4438,0.0561
161,2563.5182,0.0274
162,2579.4019,0.0719
163,2595.9751,0.1175
164,2596.1459,0.0678
165,2612.0607,0.1186
166,2612.2291,0.0680
167,2627.2051,0.0400
168,2643.6778,0.0378
169,2660.015,0.0378
170,2676.2354,0.0460
171,2692.2313,0.1477
172,2708.5498,0.0694
173,2708.9393,0.1001
174,2724.1398,0.1968
175,2740.0991,0.0302
176,2740.1386,0.0184
177,2756.6935,0.0508
178,2756.746,0.0203
179,2772.3544,0.0617
180,2772.4195,0.0251
181,2788.2778,0.0699
182,2788.3576,0.0324
183,2804.2323,0.0882
184,2821.0863,0.1221
185,2837.114,0.1446
186,2853.1637,0.1368
187,2869.3991,0.1415
188,2884.9692,0.1360
189,2901.1927,0.1150
190,2916.9672,0.1374
191,2933.6086,0.1392
192,2949.523,0.1628
193,2949.76,0.1253
194,2965.0767,0.1296
195,2981.2296,0.1175
196,2997.9559,0.1191
197,2998.1229,0.0660
198,3013.3924,0.1166
199,3013.5584,0.0658
200,3030.0107,0.1157
201,3045.7938,0.1173
202,3062.4896,0.1161
203,3078.4228,0.1170
204,3095.0076,0.1154
205,3111.2778,0.1150
206,3127.2312,0.1177
207,3143.4353,0.1131
208,3159.101,0.1175
209,3175.3145,0.2258
210,3191.5975,0.1176
211,3207.5834,0.0462
212,3207.6417,0.0209
213,3223.1356,0.0602
214,3239.0806,0.1283
215,3255.2502,0.1432
216,3271.0506,0.1420
217,3287.2647,0.1966
218,3303.5223,0.1378
219,3319.3531,0.1429
220,3342.9244,0.0689
221,3342.9749,0.0165
222,3351.6076,0.0511
223,3368.23,0.0689
224,3368.2855,0.0213
225,3384.0874,0.0555
226,3399.6892,0.0570
227,3399.7769,0.0274
228,3415.5715,0.0607
229,3431.5878,0.0811
230,3448.5284,0.1161
231,3448.642,0.0422
232,3464.1613,0.0967
233,3480.2741,0.1265
234,3496.2667,0.1150
235,3512.3467,0.1094
236,3528.1421,0.1155
237,3544.5985,0.1157
238,3560.3954,0.1172
239,3577.3807,0.1166
240,3577.5459,0.0656
241,3592.0966,0.1163
242,3608.9899,0.1154
243,3609.1619,0.0662
244,3625.2273,0.1162
245,3641.4188,0.1188
246,3656.9539,0.1149
247,3673.0503,0.1612
248,3689.0629,0.3477
249,3706.0784,0.1155
250,3706.3084,0.1233
251,3722.0619,0.1174
252,3736.8539,0.0256
253,3736.892,0.0161
254,3752.5198,0.0467
255,3768.4013,0.0537
