PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,509.5926,0.5060,1280,1.96
2,511.5495,0.0315,1280,3.91
3,525.3529,0.0436,1280,5.71
4,532.8784,0.0515,1280,7.51
5,534.1904,0.0571,1280,9.36
6,541.2344,0.1047,1280,11.09
7,557.1725,0.0847,1280,12.56
8,557.8461,0.0607,1280,14.34
9,577.7469,0.3579,1280,15.58
10,589.308,0.2681,1280,16.97
11,590.1064,0.0491,1280,18.64
12,609.6156,0.0678,1280,19.68
13,609.8902,0.0262,1280,21.32
14,621.4261,0.1041,1280,22.53
15,621.8298,0.0546,1280,24.12
16,637.503,0.1804,1280,25.10
17,637.8558,0.0442,1280,26.65
18,653.3381,0.0995,1280,27.55
19,669.3832,0.0701,1280,28.38
20,685.3308,0.0583,1280,29.18
21,701.49,0.0602,1280,29.94
22,701.7619,0.0350,1280,31.35
23,717.4081,0.0519,1280,32.06
24,733.6543,0.0511,1280,32.71
25,750.038,0.1114,1280,33.33
26,766.062,0.1157,1280,33.94
27,783.4656,0.1018,1280,34.46
28,783.8284,0.0344,1280,35.72
29,798.2079,0.1064,1280,36.33
30,814.2655,0.1180,1280,36.84
31,830.3747,0.1117,1280,37.33
32,831.0549,0.1068,1280,38.51
33,846.7178,0.1068,1280,38.97
34,863.0923,0.2344,1280,39.39
35,878.9898,0.1258,1280,39.82
36,894.9894,0.1118,1280,40.22
37,910.9907,0.1146,1280,40.62
38,926.9632,0.0975,1280,40.99
39,943.5938,0.1155,1280,41.33
40,944.1002,0.0473,1280,42.37
41,959.2797,0.1379,1280,42.74
42,975.493,0.1164,1280,43.06
43,976.0073,0.0486,1280,44.06
44,991.2801,0.1084,1280,44.39
45,1007.2226,0.1004,1280,44.68
46,1023.2683,0.1358,1280,44.95
47,1039.1733,0.1188,1280,45.23
48,1055.827,0.1015,1280,45.46
49,1071.2854,0.0976,1280,45.74
50,1088.2259,0.2279,1280,45.95
51,1088.7848,0.0813,1280,46.84
52,1103.7891,0.1204,1280,47.11
53,1119.9196,0.1024,1280,47.32
54,1135.5067,0.0880,1280,47.56
55,1135.8551,0.0294,1280,48.42
56,1151.4311,0.0781,1280,48.64
57,1151.742,0.0280,1280,49.49
58,1167.4728,0.0849,1280,49.68
59,1167.755,0.0254,1280,50.52
60,1183.8698,0.1123,1280,50.68
61,1199.6094,0.0584,1280,50.85
62,1199.8304,0.0163,1280,51.67
63,1215.6424,0.0380,1280,51.82
64,1215.7889,0.0098,1280,52.64
65,1232.0256,0.0612,1280,52.76
66,1248.5213,0.0775,1280,52.86
67,1248.7716,0.0234,1280,53.65
68,1264.9369,0.1094,1280,53.76
69,1280.7962,0.0858,1280,53.87
70,1296.7966,0.0956,1280,53.98
71,1312.928,0.0936,1280,54.08
72,1329.1723,0.1029,1280,54.17
73,1345.0822,0.0941,1280,54.27
74,1361.4994,0.1989,1280,54.35
75,1362.0575,0.1001,1280,55.06
76,1377.1196,0.1070,1280,55.19
77,1393.5602,0.1053,1280,55.25
78,1393.9815,0.0639,1280,55.95
