Msg_Received,Received_Time,Decoding_Time
1,2321.2187,14.4403
2,2321.4022,0.0682
3,2321.5599,0.1217
4,2325.8999,0.0965
5,2327.9258,0.3028
6,2334.1173,0.0430
7,2350.3796,0.0471
8,2350.6799,0.0324
9,2366.78,0.1439
10,2382.5306,0.0496
11,2398.4324,0.0423
12,2414.3062,0.0566
13,2414.3766,0.0267
14,2430.2264,0.0689
15,2430.3228,0.0369
16,2446.2747,0.1373
17,2446.3777,0.0419
18,2462.2228,0.0380
19,2478.2468,0.0276
20,2494.8204,0.1768
21,2495.1024,0.1177
22,2510.7922,0.1644
23,2526.4521,0.0907
24,2542.6181,0.0687
25,2558.7297,0.1807
26,2578.0003,0.1584
27,2590.947,0.0534
28,2607.5646,0.0551
29,2623.0161,0.0562
30,2639.4072,0.0613
31,2639.5955,0.1291
32,2655.6597,0.0445
33,2671.3115,0.0402
34,2687.8175,0.0267
35,2703.5362,0.0332
36,2719.9069,0.0276
37,2720.0573,0.0157
38,2735.7751,0.0281
39,2752.2959,0.0301
40,2752.3434,0.0135
41,2768.6095,0.0962
42,2769.0087,0.0250
43,2771.3044,0.0863
44,2783.7907,0.0933
45,2799.8155,0.0303
46,2815.6993,0.0363
47,2830.9614,0.0314
48,2831.0132,0.0102
49,2846.6656,0.0228
50,2862.1628,0.0224
51,2877.9515,0.0394
52,2893.6215,0.0416
53,2909.7287,0.0324
54,2925.5025,0.0407
55,2941.6571,0.0398
56,2958.7007,0.1623
57,2974.5016,0.0545
58,2993.0654,0.0337
59,2993.1097,0.0066
60,3007.071,0.0255
61,3007.1064,0.0061
62,3023.463,0.0234
63,3038.7803,0.0234
64,3055.2839,0.0358
65,3071.6095,0.0234
66,3087.3682,0.0275
67,3103.6825,0.0312
68,3120.383,0.0498
69,3135.7922,0.0529
70,3151.8005,0.0491
71,3167.9659,0.0486
72,3183.9129,0.0485
73,3199.89,0.0510
74,3216.2005,0.0241
75,3232.0234,0.0230
76,3248.5435,0.0236
77,3248.5771,0.0056
