PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,2129.2177,3.3424,166,0.47
2,2131.0471,0.0605,166,0.94
3,2131.2304,0.0420,166,1.41
4,2135.1704,0.0422,166,1.87
5,2136.2832,0.0759,166,2.34
6,2142.0944,0.0680,166,2.80
7,2158.2,0.1340,166,3.24
8,2174.7189,0.2380,166,3.68
9,2176.1599,0.4906,166,4.14
10,2191.232,0.3557,166,4.56
11,2206.9402,0.2002,166,4.98
12,2207.7709,0.1174,166,5.44
13,2223.3948,0.2198,166,5.85
14,2239.4019,0.1885,166,6.25
15,2255.3225,0.1728,166,6.65
16,2271.4454,0.1588,166,7.04
17,2287.6085,0.1755,166,7.43
18,2303.6362,0.1433,166,7.81
19,2319.5914,0.1599,166,8.19
20,2335.8238,0.1794,166,8.56
21,2336.2955,0.0872,166,8.99
22,2352.1803,0.1792,166,9.35
23,2368.2377,0.4190,166,9.71
24,2384.1677,0.1744,166,10.07
25,2400.1201,0.2378,166,10.42
26,2418.8243,3.2165,166,10.75
27,2422.9054,3.6784,166,11.14
28,2432.0326,0.1358,166,11.51
29,2432.4587,0.0627,166,11.92
30,2448.2206,0.1520,166,12.25
31,2464.1221,0.1036,166,12.58
32,2479.9381,0.1055,166,12.90
33,2480.2631,0.0730,166,13.31
34,2496.6379,0.1584,166,13.62
35,2512.7873,0.1233,166,13.93
36,2513.2061,0.0555,166,14.32
37,2528.7415,0.1219,166,14.63
38,2529.1537,0.0546,166,15.02
39,2544.783,0.1678,166,15.33
40,2546.4013,0.0900,166,15.71
41,2560.65,0.1079,166,16.01
42,2576.5119,0.1653,166,16.30
43,2592.7087,0.1122,166,16.58
44,2608.7921,0.2182,166,16.87
45,2609.222,0.0752,166,17.25
46,2624.9511,0.2189,166,17.52
47,2625.3777,0.0660,166,17.90
48,2641.0609,0.0862,166,18.17
49,2657.5252,0.2451,166,18.44
50,2673.2356,0.1190,166,18.70
51,2690.0238,0.1445,166,18.96
52,2690.4737,0.0691,166,19.33
53,2705.8575,0.1268,166,19.59
54,2706.2938,0.0726,166,19.95
55,2722.091,0.1370,166,20.21
56,2738.3663,0.1253,166,20.45
57,2754.5043,0.1036,166,20.69
58,2770.8944,0.1426,166,20.93
59,2771.3719,0.0709,166,21.29
60,2786.6852,0.1184,166,21.53
61,2802.6046,0.1240,166,21.77
62,2818.5736,0.1087,166,22.00
63,2834.49,0.1265,166,22.23
64,2850.6423,0.1872,166,22.45
65,2866.4258,0.1111,166,22.68
66,2883.1449,0.1190,166,22.89
67,2899.2592,0.1290,166,23.11
68,2915.3536,0.1373,166,23.32
69,2931.7559,0.1502,166,23.54
70,2932.2313,0.0705,166,23.87
71,2947.8168,0.1579,166,24.09
72,2948.2295,0.0657,166,24.42
73,2963.7514,0.1307,166,24.63
74,2964.1829,0.0621,166,24.96
75,2979.9144,0.1177,166,25.17
76,2980.3161,0.0533,166,25.50
77,2995.9875,0.1184,166,25.70
78,2996.4158,0.0558,166,26.03
79,3012.2457,0.1320,166,26.23
80,3028.4575,0.1721,166,26.42
81,3044.7523,0.1359,166,26.60
82,3045.208,0.0678,166,26.93
83,3061.0492,0.1936,166,27.11
84,3076.6602,0.1448,166,27.30
85,3092.7161,0.1370,166,27.48
86,3093.1748,0.0689,166,27.80
87,3108.7247,0.1295,166,27.99
88,3109.1415,0.0668,166,28.30
89,3124.7587,0.1175,166,28.48
90,3125.1491,0.0601,166,28.80
91,3140.5829,0.1188,166,28.98
92,3157.0372,0.1245,166,29.14
93,3157.4982,0.0655,166,29.45
94,3173.1438,0.1966,166,29.62
95,3189.6601,0.1059,166,29.78
96,3205.5315,0.1179,166,29.95
97,3221.8492,0.1908,166,30.11
98,3222.3709,0.0734,166,30.41
99,3237.9821,0.1236,166,30.57
100,3238.4901,0.0678,166,30.88
101,3254.3589,0.1194,166,31.04
102,3270.1409,0.1024,166,31.19
103,3286.2156,0.1256,166,31.34
104,3302.5864,0.3641,166,31.49
105,3318.6367,0.1382,166,31.64
106,3334.733,0.1270,166,31.79
107,3335.2645,0.0890,166,32.08
108,3350.9133,0.1151,166,32.23
109,3351.3885,0.0579,166,32.52
110,3367.186,0.1133,166,32.67
111,3383.5793,0.1565,166,32.81
112,3384.2536,0.1175,166,33.09
113,3399.7202,0.1052,166,33.24
114,3400.1317,0.0527,166,33.53
115,3415.6624,0.1070,166,33.67
116,3432.0662,0.1055,166,33.80
117,3448.4846,0.1520,166,33.93
118,3464.6452,0.1066,166,34.06
119,3480.9658,0.1228,166,34.19
120,3481.4016,0.0572,166,34.47
121,3496.9862,0.1116,166,34.60
122,3497.4648,0.0987,166,34.88
123,3513.5,0.1638,166,35.01
124,3529.3245,0.1324,166,35.13
125,3545.5125,0.1462,166,35.26
126,3561.1861,0.1267,166,35.38
127,3577.258,0.1034,166,35.50
128,3593.1022,0.1127,166,35.62
129,3609.8804,0.1124,166,35.74
130,3610.3164,0.0725,166,36.01
131,3625.7096,0.1669,166,36.13
132,3626.263,0.0743,166,36.40
133,3641.9558,0.0991,166,36.52
134,3642.3399,0.0488,166,36.79
135,3657.9708,0.1179,166,36.91
136,3658.5126,0.0962,166,37.17
137,3674.4375,0.1158,166,37.28
138,3690.5764,0.1325,166,37.39
139,3706.7795,0.0996,166,37.50
140,3707.1641,0.0525,166,37.76
141,3722.7791,0.1442,166,37.87
142,3723.2125,0.0582,166,38.14
143,3739.2041,0.1353,166,38.24
144,3755.0425,0.1432,166,38.35
145,3755.4933,0.0911,166,38.61
146,3771.7751,0.1136,166,38.71
147,3772.2495,0.0586,166,38.97
148,3787.5837,0.1059,166,39.08
149,3804.0684,0.1063,166,39.17
150,3820.245,0.1888,166,39.26
151,3825.3039,3.4455,166,39.47
152,3836.3016,0.1102,166,39.62
153,3851.9558,0.1240,166,39.72
154,3852.3908,0.0544,166,39.98
155,3868.184,0.1154,166,40.07
156,3884.5626,0.1281,166,40.16
157,3900.8634,0.1604,166,40.25
158,3901.5569,0.0974,166,40.50
159,3916.9549,0.1179,166,40.59
160,3917.4038,0.0542,166,40.84
161,3932.8773,0.1087,166,40.94
162,3933.2901,0.0551,166,41.19
163,3949.1137,0.1163,166,41.28
164,3965.0637,0.1170,166,41.36
